gender,age,country,sim_spent,day
M,28,Colombia,8.24,tuesday
F,26,Colombia,9.16,wednesday
F,31,Mexico,10.61,wednesday
M,30,Mexico,12.89,monday
M,26,Mexico,11.39,thursday
M,34,Spain,10.67,thursday
M,32,Mexico,11.19,wednesday
F,28,Colombia,8.53,monday
M,35,Peru,9.48,thursday
F,35,Peru,12.45,wednesday
F,39,Peru,6.98,wednesday
F,24,Peru,5.96,monday
F,29,Spain,7.5,friday
F,25,Peru,12.57,tuesday
M,33,Mexico,9.88,thursday
F,29,Peru,10.95,friday
F,28,Spain,8.99,friday
F,27,Mexico,10.12,friday
F,31,Mexico,7.53,monday
M,29,Colombia,9.76,wednesday
F,31,Colombia,11.24,thursday
M,40,Colombia,9.23,wednesday
M,32,Spain,9.32,tuesday
M,25,Colombia,9.56,wednesday
F,26,Spain,10.24,monday
F,30,Colombia,4.66,tuesday
F,36,Colombia,6.88,tuesday
M,32,Mexico,8.89,wednesday
F,27,Spain,9.46,friday
F,37,Colombia,8.09,wednesday
M,30,Spain,9.93,thursday
F,31,Mexico,9.63,friday
M,30,Colombia,10.34,thursday
F,33,Mexico,8.68,monday
M,31,Mexico,6.65,tuesday
M,34,Colombia,10.8,wednesday
M,28,Peru,7.95,tuesday
F,33,Mexico,10.2,tuesday
M,23,Spain,8.89,thursday
M,32,Mexico,9.66,friday
F,36,Spain,7.89,wednesday
F,28,Peru,10.05,wednesday
M,31,Mexico,8.78,wednesday
M,28,Colombia,9.47,monday
F,26,Mexico,11.37,friday
F,32,Mexico,8.06,monday
M,32,Spain,8.55,thursday
M,30,Mexico,7.82,tuesday
M,28,Spain,11.66,wednesday
M,27,Colombia,8.0,tuesday
M,30,Mexico,9.24,friday
F,31,Colombia,10.3,thursday
M,22,Peru,5.96,wednesday
M,27,Spain,8.45,wednesday
M,30,Spain,13.36,wednesday
F,36,Mexico,5.94,wednesday
F,32,Mexico,11.59,wednesday
M,28,Colombia,7.95,wednesday
M,30,Spain,13.03,wednesday
F,30,Spain,8.21,monday
F,25,Peru,10.96,thursday
M,29,Spain,10.95,wednesday
F,30,Colombia,7.36,tuesday
M,34,Mexico,9.98,thursday
M,36,Spain,13.01,tuesday
M,32,Mexico,9.25,thursday
F,34,Colombia,12.64,thursday
F,30,Colombia,9.83,wednesday
F,30,Spain,12.67,thursday
F,35,Mexico,7.99,friday
F,23,Mexico,14.22,friday
M,31,Mexico,8.44,tuesday
M,31,Peru,8.61,tuesday
M,30,Spain,11.36,friday
F,31,Peru,4.38,friday
M,22,Colombia,10.23,wednesday
F,27,Spain,11.0,monday
F,25,Spain,10.59,thursday
M,29,Mexico,12.2,friday
F,23,Mexico,7.04,friday
M,27,Mexico,12.8,monday
M,27,Mexico,11.04,wednesday
F,28,Mexico,11.19,wednesday
M,30,Spain,9.15,wednesday
F,28,Mexico,11.24,monday
F,33,Mexico,9.03,friday
M,28,Colombia,10.08,wednesday
M,38,Mexico,6.31,thursday
M,31,Peru,11.31,thursday
F,31,Peru,9.41,friday
M,32,Spain,11.64,friday
F,32,Spain,11.75,thursday
F,31,Mexico,9.89,tuesday
F,34,Colombia,13.1,friday
F,30,Spain,10.18,friday
M,28,Spain,10.86,thursday
M,34,Peru,12.37,thursday
F,31,Peru,11.4,tuesday
F,23,Spain,7.63,monday
F,28,Colombia,13.29,friday
M,31,Peru,12.56,wednesday
F,30,Mexico,8.84,tuesday
F,31,Mexico,7.67,thursday
F,30,Spain,6.55,friday
M,29,Mexico,10.26,monday
F,30,Spain,11.55,wednesday
M,24,Spain,8.16,wednesday
F,39,Mexico,8.11,monday
M,32,Colombia,13.71,tuesday
M,28,Colombia,8.78,thursday
F,25,Mexico,11.78,wednesday
F,27,Mexico,12.76,thursday
M,31,Peru,8.59,wednesday
F,35,Peru,10.02,friday
F,26,Peru,9.58,thursday
